County,State,GEO_ID,Total Population,Minority Population,ratio_income_poverty (above 200% FPL),Total Bachelors Degree,Est Speak English Less than Well,Per Capita Income,Est Civilians Insured,Est Percent Civilians Insured,Percent Households without Vehicle,Household Level - More People than Rooms (%)
Cherokee County,Kansas,0500000US20021,20331,1952,11852.0,1693,51,21635.0,17600,87.5,0.06992658952345403,0.008709717556302102
Lincoln County,Kansas,0500000US20105,3097,71,2097.0,292,8,25851.0,2730,90.0,0.022943037974683545,0.01661392405063291
Sumner County,Kansas,0500000US20191,23208,1300,15785.0,2607,50,26328.0,20770,91.4,0.046346958480849694,0.00590065443621929
Trego County,Kansas,0500000US20195,2858,108,2088.0,339,0,33555.0,2500,90.2,0.005797101449275362,0.0
Wilson County,Kansas,0500000US20205,8780,480,5096.0,615,29,26523.0,7958,92.0,0.06455862977602109,0.01238471673254282
Woodson County,Kansas,0500000US20207,3170,200,1603.0,235,15,21123.0,2694,85.2,0.05420054200542006,0.0
Ness County,Kansas,0500000US20135,2955,125,1864.0,309,111,31912.0,2693,92.7,0.008377760853008377,0.008377760853008377
Osborne County,Kansas,0500000US20141,3603,138,2463.0,459,14,28748.0,3172,90.6,0.039621525724423415,0.0011827321111768185
Bourbon County,Kansas,0500000US20011,14702,1092,7710.0,1313,10,22822.0,12888,89.3,0.0623907724571828,0.013107305138063614
Hamilton County,Kansas,0500000US20075,2616,280,1515.0,239,377,20723.0,2058,78.7,0.025821596244131457,0.0
Kiowa County,Kansas,0500000US20097,2526,153,1605.0,315,27,25623.0,2224,90.5,0.05606523955147808,0.0030581039755351682
Shawnee County,Kansas,0500000US20177,178284,31112,120204.0,23756,3421,29979.0,161174,92.2,0.07670411152922227,0.008747934515461627
Sherman County,Kansas,0500000US20181,5966,551,3838.0,578,74,23687.0,5437,92.2,0.02982257455643639,0.0
Thomas County,Kansas,0500000US20193,7824,444,5241.0,911,59,27127.0,7188,93.2,0.023326264768252045,0.00545289306270827
Montgomery County,Kansas,0500000US20125,32970,4959,19077.0,2801,555,24103.0,28802,88.8,0.07076377603781947,0.009602600088639385
Morris County,Kansas,0500000US20127,5566,221,3803.0,566,50,27499.0,4984,90.9,0.06319537160658656,0.004450378282153983
Rawlins County,Kansas,0500000US20153,2509,169,1662.0,355,66,27840.0,2329,94.3,0.05736301369863014,0.00684931506849315
Rooks County,Kansas,0500000US20163,5118,190,3400.0,596,7,25072.0,4489,91.2,0.03666666666666667,0.0038095238095238095
Clark County,Kansas,0500000US20025,2053,124,1318.0,343,36,27896.0,1823,91.5,0.019036954087346025,0.0
Ellsworth County,Kansas,0500000US20053,6293,671,3562.0,630,34,25161.0,5129,94.6,0.07026807473598701,0.015434606011372868
Harper County,Kansas,0500000US20077,5673,221,3628.0,414,84,26105.0,4890,88.5,0.04177660510114336,0.005716798592788039
Russell County,Kansas,0500000US20167,6977,342,5016.0,763,46,26300.0,6304,91.9,0.041289023162134945,0.003356831151393085
Lyon County,Kansas,0500000US20111,33299,3493,18596.0,3433,1652,26322.0,29892,90.9,0.06772673733804475,0.02024440518256773
Pawnee County,Kansas,0500000US20145,6709,720,3535.0,648,30,22925.0,5028,89.2,0.0495603517186251,0.002398081534772182
Allen County,Kansas,0500000US20001,12630,812,7473.0,1096,42,23454.0,11705,94.2,0.05577613915674041,0.004915863112119493
Comanche County,Kansas,0500000US20033,1780,41,1370.0,187,33,30171.0,1550,90.7,0.006720430107526882,0.01747311827956989
